;Unnamed: 0;Ömerli;Darlik;Elmali;Terkos;Alibey;Büyükçekmece;Sazlidere;Kazandere;Pabuçdere;Istrancalar;ort;yagis;tuketim;temiz
1.01.11;1.01.11 00:00;80,07;84,86;96,25;91,87;42,48;85,99;79,1;93,9;94,19;99,99;84,87;0;;65.178
2.01.11;2.01.11 00:00;80,07;85,02;96,67;91,68;42,71;86,17;79,21;92,8;93,11;99,99;84,74;0;;65.178
3.01.11;3.01.11 00:00;80,07;85,07;96,88;91,68;42,79;86,55;79,31;91,39;91,71;99,99;84,54;0,78;;65.178
4.01.11;4.01.11 00:00;80,07;85,18;95;92,44;43,34;86,74;79,96;90,65;90,99;99,99;84,44;11,66;;65.178
5.01.11;5.01.11 00:00;80,61;85,98;95,21;92,63;45,81;87,3;80,37;90,93;91,26;99,99;85,01;3,81;;65.178
6.01.11;6.01.11 00:00;80,92;86,4;96,98;93,02;46,7;87,49;80,62;91,48;91,8;99,99;85,54;0,45;;65.178
7.01.11;7.01.11 00:00;80,99;86,67;96,15;93,21;47,26;87,68;80,88;91,58;91,9;99,99;85,63;2,19;;65.178
8.01.11;8.01.11 00:00;80,84;86,77;97,4;93,4;47,75;87,87;81,06;91,58;91,9;99,99;85,86;0;;65.178
9.01.11;9.01.11 00:00;80,92;86,93;97,6;93,21;48,16;88,05;81,06;91,48;91,8;99,99;85,92;0;;65.178
10.01.11;10.01.11 00:00;80,76;86,88;97,5;93,21;48,33;88,05;81,24;91,48;91,8;99,99;85,92;0;;65.178
11.01.11;11.01.11 00:00;80,61;86,88;97,29;93,02;48,49;88,24;81,33;91,21;91,53;99,99;85,86;0;;65.178
12.01.11;12.01.11 00:00;80,45;86,77;97,5;92,83;48,57;88,24;81,33;91,11;91,44;99,99;85,82;0;;65.178
13.01.11;13.01.11 00:00;80,38;86,67;97,5;92,83;48,82;88,24;81,6;90,93;91,26;99,99;85,82;0;;65.178
14.01.11;14.01.11 00:00;80,22;86,56;97,71;92,63;48,82;88,24;81,69;90,93;91,26;99,99;85,8;0;;65.178
15.01.11;15.01.11 00:00;79,99;86,46;98,02;92,63;48,82;88,24;81,6;90,93;91,26;99,99;85,79;0;;65.178
16.01.11;16.01.11 00:00;79,84;86,3;97,4;92,63;48,74;88,24;81,6;90,93;91,26;99,99;85,69;1,59;;65.178
17.01.11;17.01.11 00:00;79,76;86,19;96,35;93,59;48,9;88,62;81,79;91,48;91,8;99,99;85,85;7,66;;65.178
18.01.11;18.01.11 00:00;79,6;86,19;96,56;93,79;48,82;88,62;81,69;91,88;92,2;99,99;85,93;0;;65.178
19.01.11;19.01.11 00:00;79,45;86,35;97,08;93,79;48,82;88,62;81,6;91,98;92,3;99,99;86;0;;65.178
20.01.11;20.01.11 00:00;79,37;86,19;97,4;93,79;48,9;88,62;81,69;91,88;92,2;99,99;86;0;;65.178
21.01.11;21.01.11 00:00;79,14;86,14;97,08;93,59;48,82;88,62;81,6;91,78;92,1;99,99;85,89;0;;65.178
22.01.11;22.01.11 00:00;78,99;86,08;97,19;93,79;48,82;88,81;81,69;91,58;91,9;99,99;85,88;0,23;;65.178
23.01.11;23.01.11 00:00;78,84;86,03;96,88;93,59;48,9;88,81;81,79;92,08;92,39;99,99;85,93;3,85;;65.178
24.01.11;24.01.11 00:00;78,61;85,92;96,77;93,59;48,9;89,37;81,79;93,02;93,32;99,99;86,13;7,04;;65.178
25.01.11;25.01.11 00:00;79,14;86,67;97,92;94,17;49,31;89,93;81,99;93,45;93,74;99,99;86,63;11,66;;65.178
26.01.11;26.01.11 00:00;80,3;88,37;96,04;96,88;53;91,44;83,2;93,9;94,19;99,99;87,73;8,89;;65.178
27.01.11;27.01.11 00:00;81,3;90,29;97,92;98,44;56,45;93,13;84,74;91,02;91,35;99,99;88,46;2,22;;65.178
28.01.11;28.01.11 00:00;81,54;90,82;98,75;99,02;57,85;94,07;85,2;91,21;91,53;99,99;89;0;;65.178
29.01.11;29.01.11 00:00;81,62;91,24;99,17;99,02;58,99;94,45;85,55;91,21;91,53;99,99;89,28;1,98;;65.178
30.01.11;30.01.11 00:00;81,93;91,65;99,48;99,02;59,71;94,83;85,91;91,3;91,62;99,99;89,54;3,68;;65.178
31.01.11;31.01.11 00:00;82,71;93,9;99,48;99,02;60,24;95,02;85,91;91,48;91,8;99,99;89,96;0;;65.178
1.02.11;1.02.11 00:00;83,18;94,54;100;99,61;60,96;95,21;86,2;91,58;91,9;99,99;90,32;0;;59.159
2.02.11;2.02.11 00:00;83,57;94,92;100;99,22;61,23;95,21;86,2;91,88;92,2;99,99;90,44;1,1;;59.159
3.02.11;3.02.11 00:00;83,88;95,18;100;99,22;61,59;95,21;86,39;92,7;93;99,99;90,72;0;;59.159
4.02.11;4.02.11 00:00;84,2;95,61;100;99,02;62,04;95,4;86,67;94,02;94,3;99,99;91,12;0;;59.159
5.02.11;5.02.11 00:00;84,51;95,82;100;98,83;62,31;95,4;86,67;94,71;94,99;99,99;91,32;0;;59.159
6.02.11;6.02.11 00:00;84,83;96,09;100;98,44;62,58;95,4;86,88;94,71;94,99;99,99;91,39;0;;59.159
7.02.11;7.02.11 00:00;84,99;96,35;100;98,63;62,67;95,4;87,08;94,48;94,76;99,99;91,43;0;;59.159
8.02.11;8.02.11 00:00;85,14;96,57;100;98,24;62,86;95,4;87,29;94,02;94,3;99,99;91,38;0;;59.159
9.02.11;9.02.11 00:00;85,3;96,67;100;98,04;63,22;95,4;87,29;93,56;93,85;99,99;91,33;0;;59.159
10.02.11;10.02.11 00:00;85,46;96,72;100;97,85;63,22;95,4;87,29;94,13;94,42;99,99;91,45;0;;59.159
11.02.11;11.02.11 00:00;85,54;96,67;100;97,85;63,31;95,4;87,29;94,13;94,42;99,99;91,46;0;;59.159
12.02.11;12.02.11 00:00;85,54;96,67;100;97,46;63,68;95,21;87,6;93,79;94,08;99,99;91,4;0;;59.159
13.02.11;13.02.11 00:00;85,7;96,62;100;97,27;63,68;95,4;87,6;94,02;94,3;99,99;91,46;0;;59.159
14.02.11;14.02.11 00:00;85,7;96,57;99,79;97,27;63,68;95,4;87,7;93,9;94,19;99,99;91,42;0;;59.159
15.02.11;15.02.11 00:00;85,7;96,51;99,48;96,88;63,86;95,21;87,81;93,67;93,96;99,99;91,31;0,23;;59.159
16.02.11;16.02.11 00:00;85,7;96,3;99,48;96,68;63,86;95,02;87,81;94,02;94,3;99,99;91,32;0,45;;59.159
17.02.11;17.02.11 00:00;85,38;96,09;99,69;96,49;63,77;95,02;87,92;94,13;94,42;99,99;91,29;0;;59.159
18.02.11;18.02.11 00:00;85,22;95,87;99,69;96,1;62,86;95,02;88,03;94,13;94,42;99,99;91,13;0,83;;59.159
19.02.11;19.02.11 00:00;85,22;95,66;99,58;96,3;62,86;95,02;88,25;94,13;94,42;99,99;91,14;1,15;;59.159
20.02.11;20.02.11 00:00;84,99;95,5;98,85;96,3;62,86;95,02;88,59;95,16;95,41;99,99;91,27;9,36;;59.159
21.02.11;21.02.11 00:00;84,91;95,39;99,17;96,68;62,86;94,83;88,36;94,71;94,99;99,99;91,19;0,62;;59.159
22.02.11;22.02.11 00:00;84,67;95,23;98,75;96,49;62,95;94,83;88,36;93,9;94,19;99,99;90,94;0;;59.159
23.02.11;23.02.11 00:00;84,67;95,08;98,85;97,07;63,13;95,21;88,7;93,56;93,85;99,99;91,01;5,89;;59.159
24.02.11;24.02.11 00:00;84,51;94,86;98,85;98,44;63,86;95,59;89,16;95,07;95,33;99,99;91,57;12,2;;59.159
25.02.11;25.02.11 00:00;84,35;94,65;98,96;100;65,05;97,13;89,64;93,9;94,19;99,99;91,79;3,24;;59.159
26.02.11;26.02.11 00:00;84,51;94,81;99,9;100;67,84;97,7;90,54;93,02;93,32;99,99;92,16;4,35;;59.159
27.02.11;27.02.11 00:00;84,99;95,71;99,79;99,8;69,83;97,51;90,73;94,71;94,99;99,99;92,8;1,41;;59.159
28.02.11;28.02.11 00:00;85,38;96,41;100;99,61;71,16;97,7;91,41;94,71;94,99;99,99;93,14;0,12;;59.159
1.03.11;1.03.11 00:00;85,46;96,62;100;100;72,02;98,28;91,91;93,23;93,53;99,99;93,1;1,42;;65.895
2.03.11;2.03.11 00:00;85,38;96,67;100;100;72,99;98,85;92,13;93,45;93,74;99,99;93,32;0;;65.895
3.03.11;3.03.11 00:00;85,38;96,72;100;100;73,57;99,04;92,35;92,8;93,11;99,99;93,3;0;;65.895
4.03.11;4.03.11 00:00;85,3;96,72;99,9;100;74,05;99,23;92,78;93,13;93,43;99,99;93,45;0,24;;65.895
5.03.11;5.03.11 00:00;85,22;96,72;100;100;74,25;99,23;93,47;93,79;94,08;99,99;93,68;0;;65.895
6.03.11;6.03.11 00:00;85,14;96,62;100;100;74,64;98,28;93,47;94,59;94,87;99,99;93,76;0;;65.895
7.03.11;7.03.11 00:00;85,06;96,51;100;99,8;74,93;98,08;93,23;95,07;95,33;99,99;93,8;2,84;;65.895
8.03.11;8.03.11 00:00;85,06;96,41;100;99,8;75,03;98,28;93,47;94,71;94,99;99,99;93,77;2,41;;65.895
9.03.11;9.03.11 00:00;85,06;96,46;100;100;75,22;98,08;93,7;94,36;94,64;99,99;93,75;6,11;;65.895
10.03.11;10.03.11 00:00;85,06;96,57;100;99,22;74,83;98,28;93,82;93,9;94,19;99,99;93,59;4,47;;65.895
11.03.11;11.03.11 00:00;85,06;96,88;100;99,22;74,93;98,47;93,93;94,02;94,3;99,99;93,68;2,96;;65.895
12.03.11;12.03.11 00:00;85,3;97,52;100;100;75,22;98,66;94,29;93,56;93,85;99,99;93,84;0;;65.895
13.03.11;13.03.11 00:00;85,46;98,64;100;100;75,32;98,85;94,42;94,98;95,24;99,99;94,29;0;;65.895
14.03.11;14.03.11 00:00;85,78;99,98;100;100;75,52;98,85;94,79;94,59;94,87;99,99;94,44;0;;65.895
15.03.11;15.03.11 00:00;85,94;100;100;100;75,62;99,04;94,79;94,71;94,99;99,99;94,51;0;;65.895
16.03.11;16.03.11 00:00;86,33;100;100;100;75,32;99,04;95,04;94,48;94,76;99,99;94,5;0;;65.895
17.03.11;17.03.11 00:00;86,41;100;99,79;100;75,13;99,04;95,17;94,13;94,42;99,99;94,41;0;;65.895
18.03.11;18.03.11 00:00;86,41;100;99,69;100;75,22;98,28;95,29;93,79;94,08;99,99;94,28;0,52;;65.895
19.03.11;19.03.11 00:00;86,41;100;100;100;74,25;97,89;95,81;94,25;94,53;99,99;94,31;8,38;;65.895
20.03.11;20.03.11 00:00;86,57;100;99,69;100;74,35;98,28;95,81;94,36;94,64;99,99;94,37;1,44;;65.895
21.03.11;21.03.11 00:00;86,57;100;99,79;100;74,93;98,47;96,1;94,71;94,99;99,99;94,56;3,24;;65.895
22.03.11;22.03.11 00:00;86,57;100;99,69;100;75,91;98,66;96,1;94,98;95,24;99,99;94,71;0,62;;65.895
23.03.11;23.03.11 00:00;86,57;100;99,79;100;76,21;98,66;96,49;95,16;95,41;99,99;94,83;0;;65.895
24.03.11;24.03.11 00:00;86,41;100;99,69;100;76,5;98,85;96,81;94,98;95,24;99,99;94,85;0;;65.895
25.03.11;25.03.11 00:00;86,25;100;99,9;100;76,6;98,85;96,92;94,89;95,16;99,99;94,86;0;;65.895
26.03.11;26.03.11 00:00;86,17;100;100;100;76,7;98,85;97,24;95,07;95,33;99,99;94,94;0;;65.895
27.03.11;27.03.11 00:00;86,02;100;99,79;100;76,8;99,04;97,34;95,07;95,33;99,99;94,94;0;;65.895
28.03.11;28.03.11 00:00;85,78;100;99,9;100;76,6;99,23;97,79;95,25;95,49;99,99;95;2,08;;65.895
29.03.11;29.03.11 00:00;85,54;100;99,79;100;76,5;99,04;97,34;95,33;95,58;99,99;94,91;0;;65.895
30.03.11;30.03.11 00:00;85,46;100;99,9;100;76,5;98,85;98,02;95,25;95,49;99,99;94,95;4,4;;65.895
31.03.11;31.03.11 00:00;85,38;100;99,69;100;76,3;99,04;97,68;95,42;95,66;99,99;94,92;2,41;;65.895
1.04.11;1.04.11 00:00;85,3;100;99,79;100;76,21;99,04;97,56;95,25;95,49;99,99;94,86;0,2;;63.179
2.04.11;2.04.11 00:00;85,3;100;99,9;100;76,21;99,43;97,79;95,07;95,33;99,99;94,9;4,76;;63.179
3.04.11;3.04.11 00:00;85,86;100;99,9;100;80,29;100;100;97,11;97,26;99,99;96,04;29,38;;63.179
4.04.11;4.04.11 00:00;86,25;100;99,58;100;82,61;97,51;100;100;94,76;99,99;96,07;2;;63.179
5.04.11;5.04.11 00:00;86,65;100;100;100;84,45;97,7;100;100;95,41;99,99;96,42;0,81;;63.179
6.04.11;6.04.11 00:00;87,05;100;100;100;85,49;98,08;100;99,02;94,42;99,99;96,4;0,44;;63.179
7.04.11;7.04.11 00:00;87,29;100;100;100;86,21;98,28;100;97,64;95,33;99,99;96,47;0;;63.179
8.04.11;8.04.11 00:00;87,45;100;99,69;100;86,73;98,28;100;95,99;94,99;99,99;96,31;0;;63.179
9.04.11;9.04.11 00:00;87,93;100;99,79;100;87,25;98,47;100;94,8;95,07;99,99;96,33;0,52;;63.179
10.04.11;10.04.11 00:00;88,09;100;99,79;100;87,67;98,66;100;94,59;94,87;99,99;96,37;1,39;;63.179
11.04.11;11.04.11 00:00;88,33;99,99;99,69;100;87,98;98,47;100;94,25;94,53;99,99;96,32;0,41;;63.179
12.04.11;12.04.11 00:00;88,5;99,99;99,69;100;88,19;98,66;99,72;94,59;94,87;99,99;96,42;1,89;;63.179
13.04.11;13.04.11 00:00;88,59;99,98;99,79;100;88,82;98,66;100;94,48;94,76;99,99;96,51;0,22;;63.179
14.04.11;14.04.11 00:00;88,86;99,97;99,79;99,61;89,13;98,47;100;94,36;94,64;99,99;96,48;0;;63.179
15.04.11;15.04.11 00:00;88,95;99,81;99,9;100;89,66;98,66;100;94,36;94,64;99,99;96,6;11,7;;63.179
16.04.11;16.04.11 00:00;89,04;99,76;99,69;100;89,97;98,85;100;94,71;94,99;99,99;96,7;0;;63.179
17.04.11;17.04.11 00:00;89,13;99,65;99,58;100;90,08;98,85;100;94,8;95,07;99,99;96,72;0;;63.179
18.04.11;18.04.11 00:00;89,52;99,49;99,58;100;90,4;99,04;100;95,16;95,41;99,99;96,86;9,08;;63.179
19.04.11;19.04.11 00:00;90,6;100;99,69;100;92,2;99,23;100;95,16;95,41;99,99;97,23;13,8;;63.179
20.04.11;20.04.11 00:00;91,25;100;99,79;100;92,84;98,47;100;94,89;95,16;99,99;97,24;2,02;;63.179
21.04.11;21.04.11 00:00;92,07;100;100;100;92,31;98,66;100;95,07;95,33;99,99;97,34;3,14;;63.179
22.04.11;22.04.11 00:00;92,4;100;100;100;92,31;99,04;100;95,25;95,49;99,99;97,45;0;;63.179
23.04.11;23.04.11 00:00;92,64;100;100;100;91,99;98,85;100;95,25;95,49;99,99;97,42;0;;63.179
24.04.11;24.04.11 00:00;92,89;100;100;100;91,78;99,04;100;95,25;95,49;99,99;97,44;0;;63.179
25.04.11;25.04.11 00:00;93,14;100;99,79;100;91,14;98,85;100;95,16;95,41;99,99;97,35;0;;63.179
26.04.11;26.04.11 00:00;93,47;100;99,69;100;90,93;98,85;100;94,71;94,99;99,99;97,26;0;;63.179
27.04.11;27.04.11 00:00;93,55;99,99;99,79;100;90,4;98,85;100;95,33;95,58;99,99;97,35;0;;63.179
28.04.11;28.04.11 00:00;93,8;99,99;100;100;89,97;99,23;99,86;95,6;95,83;99,99;97,43;8,86;;63.179
29.04.11;29.04.11 00:00;93,88;99,99;99,69;100;89,55;98,85;99,86;95,6;95,83;99,99;97,32;0,29;;63.179
30.04.11;30.04.11 00:00;93,96;99,97;99,79;100;89,45;98,85;99,86;95,6;95,83;99,99;97,33;0;;63.179
1.05.11;1.05.11 00:00;94,13;99,76;99,79;100;88,82;98,85;99,72;95,6;95,83;99,99;97,25;0;;69.283
2.05.11;2.05.11 00:00;94,29;99,65;100;99,8;89,45;98,85;99,72;95,6;95,83;99,99;97,32;0,87;;69.283
3.05.11;3.05.11 00:00;94,37;99,39;99,69;99,8;88,92;98,85;99,44;95,6;95,83;99,99;97,19;1,53;;69.283
4.05.11;4.05.11 00:00;94,37;99,28;100;99,61;89,03;99,23;99,58;96,58;96,76;99,99;97,44;9,69;;69.283
5.05.11;5.05.11 00:00;94,46;99,12;100;100;90,29;99,81;100;96,79;96,96;99,99;97,74;10,13;;69.283
6.05.11;6.05.11 00:00;94,46;99,01;99,9;99,61;91,88;98,08;100;97;97,16;99,99;97,71;0,95;;69.283
7.05.11;7.05.11 00:00;94,37;98,8;100;100;96,72;98,08;100;97,11;97,26;99,99;98,23;0,57;;69.283
8.05.11;8.05.11 00:00;94,46;98,64;100;99,8;96,72;98,08;100;97,11;97,26;99,99;98,21;0;;69.283
9.05.11;9.05.11 00:00;94,13;98,37;99,9;99,41;96,18;98,08;99,86;96,79;96,96;99,99;97,97;0;;69.283
10.05.11;10.05.11 00:00;93,96;98,21;99,79;99,22;95,42;98,28;99,72;96,69;96,86;99,99;97,81;0;;69.283
11.05.11;11.05.11 00:00;93,88;98;99,9;99,41;95,2;97,7;99,72;96,58;96,76;99,99;97,71;0,35;;69.283
12.05.11;12.05.11 00:00;93,71;97,79;99,69;99,41;94,67;97,7;99,44;96,39;96,57;99,99;97,54;0;;69.283
13.05.11;13.05.11 00:00;93,55;97,52;99,9;99,22;94,13;97,51;99,3;96,19;96,39;99,99;97,37;0;;69.283
14.05.11;14.05.11 00:00;93,38;97,31;99,69;98,63;93,59;97,7;99,02;96,09;96,3;99,99;97,17;0;;69.283
15.05.11;15.05.11 00:00;93,14;96,99;99,58;98,04;93,38;97,7;98,87;96,09;96,3;99,99;97,01;0;;69.283
16.05.11;16.05.11 00:00;92,97;96,72;99,58;98,24;93,27;97,7;98,87;96,19;96,39;99,99;96,99;0;;69.283
17.05.11;17.05.11 00:00;92,81;96,62;99,48;98,24;93,27;97,51;98,59;96,39;96,57;99,99;96,95;0;;69.283
18.05.11;18.05.11 00:00;92,56;96,51;99,58;97,85;93,27;96,74;98,36;96,48;96,67;99,99;96,8;0;;69.283
19.05.11;19.05.11 00:00;92,31;96,41;99,48;97,66;93,27;96,74;98,13;96,58;96,76;99,99;96,73;0;;69.283
20.05.11;20.05.11 00:00;92,15;96,3;99,17;97,27;93,27;96,74;98,02;96,79;96,96;99,99;96,67;0;;69.283
21.05.11;21.05.11 00:00;92,07;96,14;98,54;97,07;93,27;96,74;97,79;97,11;97,26;99,99;96,6;0;;69.283
22.05.11;22.05.11 00:00;91,82;96,09;98,23;96,88;93,27;96,55;97,68;97,32;97,46;99,99;96,53;0;;69.283
23.05.11;23.05.11 00:00;91,66;95,87;98,02;96,49;93,27;95,98;97,45;97,64;97,76;99,99;96,41;0;;69.283
24.05.11;24.05.11 00:00;91,41;95,71;97,4;95,91;93,27;95,79;97,45;97,87;97,98;99,99;96,28;0;;69.283
25.05.11;25.05.11 00:00;91,17;95,66;97,5;96,1;93,27;95,59;97,24;100;98,3;99,99;96,48;0;;69.283
26.05.11;26.05.11 00:00;90,92;95,45;96,88;95,52;93,27;95,79;97,13;98,44;98,52;99,99;96,19;0;;69.283
27.05.11;27.05.11 00:00;90,68;95,29;95,94;95,33;93,27;95,59;96,92;98,67;98,73;99,99;96,04;0;;69.283
28.05.11;28.05.11 00:00;90,52;95,18;95,1;94,94;93,27;95,02;96,6;99,02;99,07;99,99;95,87;0;;69.283
29.05.11;29.05.11 00:00;90,44;95,02;94,71;94,75;93,27;95,02;96,39;99,15;99,19;99,99;95,79;0,62;;69.283
30.05.11;30.05.11 00:00;90,27;94,92;95,1;94,36;93,27;94,45;96,29;99,39;99,42;99,99;95,75;0;;69.283
31.05.11;31.05.11 00:00;90,11;94,76;94,9;93,98;93,27;94,45;96,19;99,63;99,65;99,99;95,69;0;;69.283
1.06.11;1.06.11 00:00;89,88;94,6;94,38;93,59;93,27;94,07;95,9;99,76;99,77;99,99;95,52;0;;72.126
2.06.11;2.06.11 00:00;89,81;94,33;93,96;93,4;93,27;93,69;95,61;99,88;99,88;99,99;95,38;0;;72.126
3.06.11;3.06.11 00:00;89,67;94,22;93,88;93,02;93,27;93,5;95,52;100;100;99,99;95,31;0;;72.126
4.06.11;4.06.11 00:00;89,59;94,12;93,46;93,02;93,16;93,5;95,04;100;100;99,99;95,19;0;;72.126
5.06.11;5.06.11 00:00;89,38;94,01;93,46;92,63;93,06;93,13;94,79;100;100;99,99;95,04;0;;72.126
6.06.11;6.06.11 00:00;89,22;93,85;93,04;92,06;92,84;92,94;94,67;100;100;99,99;94,86;0;;72.126
7.06.11;7.06.11 00:00;89,04;93,59;92,71;91,68;92,52;92,75;94,17;100;100;99,99;94,65;0;;72.126
8.06.11;8.06.11 00:00;88,95;93,48;92,29;91,3;91,99;92,37;93,93;100;100;99,99;94,43;0;;72.126
9.06.11;9.06.11 00:00;88,86;93,32;92,21;90,92;91,78;92,19;93,82;100;100;99,99;94,31;0;;72.126
10.06.11;10.06.11 00:00;88,68;93,11;92,04;90,34;91,35;92,19;93,7;100;100;99,99;94,14;0;;72.126
11.06.11;11.06.11 00:00;88,5;92,95;91,46;89,96;90,93;93,13;93,35;100;100;99,99;94,03;8,34;;72.126
12.06.11;12.06.11 00:00;88,5;92,84;91,63;89,96;90,71;94,07;93,11;100;100;99,99;94,08;2,85;;72.126
13.06.11;13.06.11 00:00;88,59;92,73;92,04;89,4;90,29;91,44;92,89;100;100;99,99;93,74;1,37;;72.126
14.06.11;14.06.11 00:00;88,59;92,57;91,96;88,83;90,08;91,81;92,56;100;100;99,99;93,64;0,12;;72.126
15.06.11;15.06.11 00:00;88,33;92,57;92,21;88,83;89,87;91,81;92,35;99,76;99,77;99,99;93,55;1,9;;72.126
16.06.11;16.06.11 00:00;88,01;92,57;91,63;88,26;89,45;91,44;92,13;99,76;99,77;99,99;93,3;0;;72.126
17.06.11;17.06.11 00:00;87,93;92,57;91,88;87,88;89,34;91,25;92,13;99,63;99,65;99,99;93,22;1,71;;72.126
18.06.11;18.06.11 00:00;87,61;92,35;92,04;87,32;89,13;91,06;91,91;99,63;99,65;99,99;93,07;0;;72.126
19.06.11;19.06.11 00:00;87,37;92,17;91,63;86,94;88,61;90,68;91,71;99,76;99,77;99,99;92,86;0;;72.126
20.06.11;20.06.11 00:00;87,13;91,89;91,29;86,56;88,4;90,5;91,71;99,88;99,88;99,99;92,72;0;;72.126
21.06.11;21.06.11 00:00;86,89;91,7;90,79;86,19;88,08;90,31;91,31;100;100;99,99;92,53;0;;72.126
22.06.11;22.06.11 00:00;86,65;91,55;90,38;85,44;87,77;89,93;91,01;100;100;99,99;92,27;0;;72.126
23.06.11;23.06.11 00:00;86,25;91,46;90,13;85,07;87,25;89,74;90,82;100;100;99,99;92,07;0;;72.126
24.06.11;24.06.11 00:00;86,02;91,3;89,79;84,88;86,94;89,37;90,64;100;100;99,99;91,89;0;;72.126
25.06.11;25.06.11 00:00;85,7;91,03;89,46;84,51;86,42;88,81;90,45;100;100;99,99;91,64;0;;72.126
26.06.11;26.06.11 00:00;85,54;90,82;89,13;83,95;85,9;88,62;90,27;100;100;99,99;91,42;1,95;;72.126
27.06.11;27.06.11 00:00;85,22;90,66;89,21;83,76;85,28;88,62;89,99;100;100;99,99;91,27;0,78;;72.126
28.06.11;28.06.11 00:00;85,06;90,55;88,79;83,2;85,17;88,81;89,64;100;100;99,99;91,12;0,85;;72.126
29.06.11;29.06.11 00:00;84,91;90,29;88,46;83,02;84,56;88,24;89,4;100;100;99,99;90,89;0,67;;72.126
30.06.11;30.06.11 00:00;85,06;90,13;88,46;82,46;84,15;87,3;89,28;100;100;99,99;90,68;0;;72.126
1.07.11;1.07.11 00:00;85,06;89,91;87,71;82,09;83,74;87,49;89,16;100;100;99,99;90,52;0;;76.919
2.07.11;2.07.11 00:00;84,67;89,81;88,04;82,09;82,61;87,87;88,93;100;100;99,99;90,4;10,79;;76.919
3.07.11;3.07.11 00:00;84,35;89,65;87,79;81,91;82,41;88,05;88,81;100;100;99,99;90,3;0;;76.919
4.07.11;4.07.11 00:00;84,04;89,43;87,29;81,54;81,9;87,68;88,59;100;100;99,99;90,05;0;;76.919
5.07.11;5.07.11 00:00;83,72;89,12;87,38;80,98;81,7;87,3;88,25;100;100;99,99;89,84;0;;76.919
6.07.11;6.07.11 00:00;83,41;88,8;86,88;80,8;81,29;86,93;88,14;100;100;99,99;89,62;0;;76.919
7.07.11;7.07.11 00:00;83,1;88,37;86,31;80,25;80,99;86,74;87,7;100;100;99,99;89,34;0;;76.919
8.07.11;8.07.11 00:00;82,71;88,05;85,58;79,7;80,59;86,17;87,6;100;100;99,99;89,04;0;;76.919
9.07.11;9.07.11 00:00;82,39;87,68;85,51;79,51;80,29;85,8;87,49;100;100;99,99;88,87;0,24;;76.919
10.07.11;10.07.11 00:00;82;87,36;85,22;79,15;79,88;85,61;87,19;100;100;99,99;88,64;0;;76.919
11.07.11;11.07.11 00:00;81,69;86,99;85,07;78,78;79,48;85,24;86,98;100;100;99,99;88,42;0;;76.919
12.07.11;12.07.11 00:00;81,38;86,61;84,85;78,05;79,08;85,05;86,78;100;100;99,99;88,18;0;;76.919
13.07.11;13.07.11 00:00;81,07;86,24;84,27;77,87;78,68;84,67;86,67;100;100;99,99;87,95;0;;76.919
14.07.11;14.07.11 00:00;80,76;85,82;84,27;77,51;78,29;84,48;86,29;100;100;99,99;87,74;0,29;;76.919
15.07.11;15.07.11 00:00;80,38;85,5;83,76;76,96;77,99;84,11;86,2;100;100;99,99;87,49;0;;76.919
16.07.11;16.07.11 00:00;80,07;85,23;83,32;76,6;77,59;83,92;85,91;100;100;99,99;87,26;0;;76.919
17.07.11;17.07.11 00:00;79,76;84,75;83,03;76,05;77,19;83,54;85,72;100;100;99,99;87;0;;76.919
18.07.11;18.07.11 00:00;79,45;84,38;82,45;75,33;76,8;83,36;85,72;100;100;99,99;86,75;0;;76.919
19.07.11;19.07.11 00:00;79,14;84,01;82,45;75,15;76,11;82,79;85,38;100;100;99,99;86,5;0;;76.919
20.07.11;20.07.11 00:00;78,84;83,63;82,45;74,61;75,62;82,61;85,2;100;100;99,99;86,3;0;;76.919
21.07.11;21.07.11 00:00;78,45;83,32;82,01;74,07;75,42;82,23;84,94;100;100;99,99;86,04;0;;76.919
22.07.11;22.07.11 00:00;78,15;82,84;81,65;73,71;74,83;82,04;84,52;100;100;99,99;85,77;0;;76.919
23.07.11;23.07.11 00:00;77,84;82,52;81,21;73,35;74,44;81,67;84,4;100;100;99,99;85,54;0;;76.919
24.07.11;24.07.11 00:00;77,53;82,15;80,77;72,64;74,05;81,48;84,06;100;100;99,99;85,27;0;;76.919
25.07.11;25.07.11 00:00;77,23;81,72;80,26;72,1;73,57;81,1;83,84;100;100;99,99;84,98;0;;76.919
26.07.11;26.07.11 00:00;76,93;81,45;80,26;71,74;73,18;80,73;83,51;100;100;99,99;84,78;0;;76.919
27.07.11;27.07.11 00:00;76,62;81,03;79,75;71,39;72,79;80,35;83,2;100;100;99,99;84,51;2,09;;76.919
28.07.11;28.07.11 00:00;76,24;80,6;79,31;70,86;72,41;80,16;83,09;100;100;99,99;84,27;0;;76.919
29.07.11;29.07.11 00:00;75,94;80,23;79,24;70,15;71,83;79,79;82,88;100;100;99,99;84;0;;76.919
30.07.11;30.07.11 00:00;75,64;79,91;79,04;69,79;71,54;79,41;82,78;100;100;99,99;83,81;0;;76.919
31.07.11;31.07.11 00:00;75,33;79,48;78,79;69,44;71,16;79,04;82,38;100;100;99,99;83,56;0;;76.919
1.08.11;1.08.11 00:00;75,03;79,06;78,54;68,91;70,68;78,66;81,89;100;100;99,99;83,28;0;;75.957
